"country","state","country code","state code","Status","","","","","","","","","","","","","","","","","","","","","continent"
"Algeria","","DZ","","Present, no details","","","","","","","","","","","","","","","","","","","","","Africa"
"Egypt","","EG","","Present, no details","","","","","","","","","","","","","","","","","","","","","Africa"
"Ethiopia","","ET","","Present, no details","","","","","","","","","","","","","","","","","","","","","Africa"
"Ghana","","GH","","Present, no details","","","","","","","","","","","","","","","","","","","","","Africa"
"Kenya","","KE","","Present, no details","","","","","","","","","","","","","","","","","","","","","Africa"
"Madagascar","","MG","","Present, no details","","","","","","","","","","","","","","","","","","","","","Africa"
"Malawi","","MW","","Present, no details","","","","","","","","","","","","","","","","","","","","","Africa"
"Mauritius","","MU","","Present, no details","","","","","","","","","","","","","","","","","","","","","Africa"
"Morocco","","MA","","Present, no details","","","","","","","","","","","","","","","","","","","","","Africa"
"Mozambique","","MZ","","Present, no details","","","","","","","","","","","","","","","","","","","","","Africa"
"Reunion","","RE","","Present, no details","","","","","","","","","","","","","","","","","","","","","Africa"
"Rwanda","","RW","","Present, no details","","","","","","","","","","","","","","","","","","","","","Africa"
"Sierra Leone","","SL","","Present, no details","","","","","","","","","","","","","","","","","","","","","Africa"
"South Africa","","ZA","","Present, no details","","","","","","","","","","","","","","","","","","","","","Africa"
"Tanzania","","TZ","","Present, no details","","","","","","","","","","","","","","","","","","","","","Africa"
"Tunisia","","TN","","Present, no details","","","","","","","","","","","","","","","","","","","","","Africa"
"Uganda","","UG","","Present, no details","","","","","","","","","","","","","","","","","","","","","Africa"
"Zimbabwe","","ZW","","Present, no details","","","","","","","","","","","","","","","","","","","","","Africa"
"Argentina","","AR","","Present, no details","","","","","","","","","","","","","","","","","","","","","America"
"Brazil","","BR","","Present, no details","","","","","","","","","","","","","","","","","","","","","America"
"Brazil","Bahia","BR","ba","Present, no details","","","","","","","","","","","","","","","","","","","","","America"
"Brazil","Espirito Santo","BR","es","Present, no details","","","","","","","","","","","","","","","","","","","","","America"
"Brazil","Goias","BR","go","Present, no details","","","","","","","","","","","","","","","","","","","","","America"
"Brazil","Maranhao","BR","ma","Present, no details","","","","","","","","","","","","","","","","","","","","","America"
"Brazil","Mato Grosso do Sul","BR","ms","Present, no details","","","","","","","","","","","","","","","","","","","","","America"
"Brazil","Minas Gerais","BR","mg","Present, no details","","","","","","","","","","","","","","","","","","","","","America"
"Brazil","Parana","BR","pr","Present, no details","","","","","","","","","","","","","","","","","","","","","America"
"Brazil","Pernambuco","BR","pe","Present, no details","","","","","","","","","","","","","","","","","","","","","America"
"Brazil","Rio Grande do Sul","BR","rs","Present, no details","","","","","","","","","","","","","","","","","","","","","America"
"Brazil","Sao Paulo","BR","sp","Present, no details","","","","","","","","","","","","","","","","","","","","","America"
"Brazil","Sergipe","BR","se","Present, no details","","","","","","","","","","","","","","","","","","","","","America"
"Brazil","Tocantins","BR","to","Present, no details","","","","","","","","","","","","","","","","","","","","","America"
"Chile","","CL","","Present, no details","","","","","","","","","","","","","","","","","","","","","America"
"Mexico","","MX","","Present, no details","","","","","","","","","","","","","","","","","","","","","America"
"Paraguay","","PY","","Present, no details","","","","","","","","","","","","","","","","","","","","","America"
"United States of America","","US","","Present, restricted distribution","","","","","","","","","","","","","","","","","","","","","America"
"United States of America","Florida","US","fl","Present, no details","","","","","","","","","","","","","","","","","","","","","America"
